法人代码,法人单位,法人,职务,乡（镇）,村（街）,街道办事处,居委会,地名代码,省地县码,乡村码,区号,电话,电话分机,传真,传真分机,邮政编码,主要产品1,主要产品2,主要产品3,行业类别,会计制度类,注册类型,控股情况,隶属关系,开业时间年,开业时间月,营业状态,建房资级,产活单位数,农林牧渔业,工业,建筑业,交通运输业,批发零售贸,餐饮业,其它,企业规模,轻重工业,从业人数,工业产值固,工业产值现,新产品产值,工业销售现,出口交货值,全部职工,工业增加值,流动资产计,应收帐净额,存货,产成品,流动均余额,长期投资,固定资产合,固资原价合,生产经营用,累计折旧,本年折旧,固资净年余,无形递延合,无形资产,资产总计,流动资产负,长期负债合,负债合计,所有者权益,实收资本,国家资本金,集体资本金,法人资本金,个人资本金,港澳台资本,外商资本金,销售收入,销售成本,销售费用,销售税附加,销售利润,其它业务利,管理费用,税金,财产保险费,劳待保险费,财务费用,利息支出,营业利润,补贴收入,利润总额,亏损总额加,利税总额加,就交所得税,应付利润,年应付工资,主营业务应,年应付福利,主营业务福,应交增值税,本年进项税,本年销项税,中间投入合,税金（加）,YEAR
101100051 ,北京光华染织厂,郭卫东,厂长,,光华路７号,呼家楼,,105,110301,2,10,65016774,,65004478,,100020,棉印染业,,,1723,1,110,1,20,1951,10,1,,3,0,1,0,0,2,0,0,13,11,1569,12824,16384,90,21378,10637,1263,1393,152507,-515,7741,1022,107681,48225,65954,84676,42600,24500,1928,69430,0,0,266686,125618,8113,133731,132955,93040,0,0,93040,0,0,0,29305,27421,20,14,1850,18576,19436,722,173,2772,875,1895,115,0,10502,0,10516,3463,0,13994,13994,1538,1538,-1094,5806,4568,14991,14,2000
101100078 ,北京市北冰洋食品公司,黄麟魁,总经理,定门外,安乐林路22号,永定门外,安乐林路,103,110717,2,10,67212162,,67212162,,,罐头,,,1431,1,110,1,20,1936,8,1,,1,0,1,0,0,0,0,0,13,11,1243,0,0,0,0,0,695,1,39674,0,9607,0,41323,86145,14830,67484,0,45439,524,22024,0,0,140649,157068,8264,165332,-24683,48052,0,344,47708,0,0,0,0,0,0,0,0,638,13103,0,0,5022,7085,7085,-19550,0,-18662,-18662,-18661,0,0,4315,4315,604,604,1,1026,197,0,1,2000
101100094 ,北京市五环联合食品厂,王宏刚,厂长,南苑,和义北,南苑,和义,224,110202,5,10,67991228,,67993482,,100076,肉制品加工,,,1342,1,110,1,20,1989,11,1,,1,0,1,0,0,0,0,0,30,11,69,6366,6670,0,6591,0,102,3499,4475,2362,842,187,4178,12,11497,15349,12870,3974,426,11341,95,95,16079,8492,0,8492,7587,11112,6878,0,4234,0,0,0,6498,4799,466,49,1184,734,1563,80,3,172,282,282,73,0,72,0,718,25,0,1058,1058,130,130,597,507,1104,3768,646,2000
101100115 ,北京第二印染厂,蔺贵良,厂长,,光华路八号,建外北郎家园,,105,110101,3,10,65015511,22,65005124,,100026,印染布,,,1723,1,110,1,20,1954,9,1,,4,0,2,0,0,1,0,1,22,11,1008,18830,19487,46,21581,10988,692,-7070,63563,1074,3619,1276,53083,3794,67902,84277,7394,33335,3210,52248,7479,0,142738,93734,43844,137578,5160,6078,0,0,6078,0,0,0,21581,23700,743,9,-2871,12828,14958,513,296,3957,5824,5824,-10825,1200,3068,0,4135,1035,0,9400,795,1316,111,1058,4097,3563,27615,1067,2000
101100174 ,北京市革制品厂,叶瑞君,厂长,黄村,广茂大街10号,大兴工业开发区,前高米店,224,110052,5,10,69263738,,69263737,,102600,皮鞋,兰、排、足球,,1921,1,110,1,20,1932,3,1,,1,0,1,0,0,0,0,0,13,11,1119,8685,12313,0,12013,383,1117,-5869,113226,1471,29263,2721,118973,1618,39004,44544,44544,10005,1610,40448,7770,0,161618,108222,25526,133748,27870,17968,0,506,17462,0,0,0,8606,9765,1013,0,-2172,-898,13153,62,120,4476,9151,9151,-25374,0,0,0,634,0,0,4416,4416,618,618,634,1659,2293,18816,634,2000
101100190 ,北京胶印厂,姜福祥,厂长,馆后街,77号,景山,黄米,101,110204,1,10,64023734,,64023734,,100010,胶印印刷,照相制版,,2311,1,110,1,20,1954,10,1,,2,0,1,0,0,1,0,0,21,11,444,17703,26455,0,26697,0,404,12343,17186,6250,3587,28,19696,140,44254,65602,63930,30625,4211,36607,0,0,61580,22412,21979,44392,17188,10910,10910,0,0,0,0,0,24595,18296,34,207,6058,985,5660,112,140,61,1289,1339,94,0,107,0,2384,105,0,4113,4113,576,576,2070,2114,4184,16182,2277,2000
101100238 ,北京市热力集团有限责任公司,刘淀生,董事长,,西坝河南路2号,香河园,西坝河中里,105,110601,2,10,84551872,,84551870,,100028,蒸汽热水生产和供应业,市政热力工程设计安装,仪器仪表;房屋租赁等,4430,1,151,1,20,1958,4,1,,1,0,1,0,0,0,0,0,12,22,4339,246799,619733,0,619733,0,4363,279060,937512,292892,12674,0,783576,43653,5293890,6437539,6410363,1156016,235166,4243458,2965,1290,6278020,444200,306734,750934,5527086,4437868,4437868,0,0,0,0,0,941790,1066571,0,5034,-129815,1169,73490,6680,0,3339,-1173,2945,-200963,210680,9718,0,65118,0,0,68194,68194,9546,9546,50366,87367,136094,391039,55400,2000
101100326 ,铁道部木材防腐厂,毕新民,厂长,,八里桥,管庄,防腐厂,105,112007,5,10,65759437,,65762395,,100024,锯材加工业,,,2011,1,110,1,10,1958,9,1,,1,0,1,0,0,0,0,0,11,22,644,27717,45023,0,48359,0,335,5965,60793,28571,18722,13502,60237,1895,62721,75958,47205,18961,1350,59177,435,0,134219,38512,8727,47239,86980,89825,0,0,89825,0,0,0,41145,32789,926,187,7243,213,6165,12,99,1674,1338,1328,-47,0,24,0,2086,0,0,5196,5196,727,727,1875,4484,7039,40933,2062,2000
101100350 ,北京市混凝土制品二厂,李凤林,厂长,,西三旗,清河,新都一,108,111712,5,10,82911657,,82910107,,,水泥电杆,彩砖,,3121,1,110,1,20,1984,11,1,,1,0,1,0,0,0,0,0,30,23,460,10903,21405,0,22557,0,410,2849,30963,489,13250,6821,30056,216,13154,21563,21563,9370,872,14412,9086,0,53419,32894,13215,46109,7310,3600,0,0,3600,0,0,0,22784,16512,2563,83,3626,41,3964,57,14,870,77,77,-374,26,0,0,970,0,0,2965,2965,401,401,887,2721,3608,19443,970,2000
101100369 ,北京义利食品公司,尹萧伯,总经理,广义,街5号,广内,西夹道,104,110545,1,10,63031325,,63018226,,100053,糖果,,,1411,1,110,1,20,1906,1,1,,1,0,1,0,0,0,0,0,13,11,976,24690,42444,0,41626,0,1071,5959,84535,39202,12849,3763,68480,32700,44614,73025,30259,30928,2281,41885,89961,840,251810,85810,113752,199562,52248,52750,52750,0,0,0,0,0,37324,31269,8015,191,-2151,12249,14284,345,0,6717,3498,3760,-7684,0,-5898,-5898,-3856,0,0,9571,9571,1211,1211,1851,4642,6493,38336,2042,2000
101100430 ,北京衬衫厂,田成,厂长,,左家庄01号,左家庄,,105,110501,2,10,64664411,,64668177,,100028,服装制造,,,1810,1,110,1,20,1957,9,1,,1,0,1,0,0,0,0,0,21,11,846,20027,31448,0,28361,11436,675,5039,63434,6590,22632,6680,57126,8371,22551,35098,21188,13448,1088,22319,1837,1837,96193,45582,24908,70491,25702,11121,0,0,11121,0,0,0,28594,24797,730,110,2957,7361,5606,290,2,2412,1917,1885,2795,141,3017,0,4231,984,960,7008,7008,981,981,1104,4141,5018,27513,1214,2000
101100457 ,北京金属结构厂,果占平,厂长,犁园,半壁店大街25号,梨园,大稿,112,110664,4,10,81563388,20,81564400,,101101,化工设备,专用改装汽车槽车,,3622,1,110,1,20,1952,11,1,,1,0,1,0,0,0,0,0,12,23,1363,23174,24692,1156,21351,0,777,-5277,99768,7414,70178,39191,92915,11181,119568,147707,-319,47239,7145,106201,254,0,231961,109544,104878,214422,17539,34083,34083,0,0,0,0,0,34304,28217,1137,248,4702,339,22006,353,0,3246,779,0,-17744,0,-6663,-6663,-6038,0,0,6423,6423,1061,1061,377,3734,4111,30346,625,2000
101100473 ,北京日用化学二厂,徐彬,厂长,带河大,街12号,通州南城,上营,112,110104,4,10,69547119,,69546051,,101149,洗涤济,,,2681,1,110,1,20,1960,3,1,,1,0,1,0,0,0,0,0,13,11,973,75669,104132,8860,107539,0,874,31895,295649,25773,18482,8299,153515,19309,78975,137417,59578,58489,6751,79694,0,0,393933,159507,22320,181827,212106,69682,69682,0,0,0,0,0,107539,76632,26427,450,4030,8016,23351,693,0,5062,138,138,-11443,0,13502,0,19003,2962,0,12660,1465,2207,268,5051,13343,18394,77288,5501,2000
101100481 ,北京建筑工业印刷厂,周平,厂长,成门外,阜外大街南礼士路3号,阜成门外,阜外四,102,110801,2,10,68039666,,68039666,,100037,书刊印刷,,,2311,1,110,1,10,1949,12,1,,1,0,1,0,0,0,0,0,22,11,385,3293,7107,0,3293,0,238,2554,16773,756,0,0,15199,927,17518,28604,24139,12886,994,15880,243,0,35461,10913,9612,20525,14936,11815,11815,0,0,0,0,0,7654,6820,56,73,705,4799,5970,247,15,2313,-6,-6,-460,0,-388,-388,418,0,0,3943,3943,513,513,733,707,1319,5286,806,2000
101100537 ,国营北京被服厂,李先成,厂长,,东环北路23号,呼家楼,东环路,105,110323,2,10,65021169,,65022408,,,服装制造,缝制帽,,1810,1,110,1,10,1912,10,1,,6,0,1,0,0,2,0,3,22,11,1143,42387,45858,0,44564,10245,827,12892,44331,8955,13261,6588,60858,5705,53981,70859,12702,21530,1097,42826,0,0,134484,109856,10372,120228,14256,40853,40853,0,0,0,0,0,48279,43253,937,24,4065,13572,18492,397,0,8014,-253,-253,-602,0,-855,-855,-51,0,0,12651,9425,2393,1728,780,1242,2022,33746,804,2000
101100553 ,北京中美示范面粉厂,张耀和,经理,,广渠东路唐家,南磨房,大郊亭,105,112102,5,10,67717883,,67717883,,100022,磨粉业,,,1312,1,310,1,20,1993,7,1,,1,0,1,0,0,0,0,0,13,11,145,5481,10622,0,9259,0,152,3372,3202,814,1811,1287,3202,0,21227,43357,37071,22130,1731,21227,0,0,24429,16622,0,16622,7807,11755,11755,0,0,0,0,0,6357,6539,381,8,-571,18,3393,160,119,337,-5,-5,-3941,0,-3948,-3948,-3866,0,0,995,995,139,139,74,828,833,7324,82,2000
101100561 ,北京毛巾厂,田野,厂长,,劲松七区29号,潘家园,,105,111801,2,10,67715626,,67715626,,100021,毛巾类产品,,,1724,1,110,1,20,1954,3,1,,2,0,2,0,0,0,0,0,13,11,1844,19527,36802,9236,38211,2982,1041,9602,46653,8050,14041,9695,34644,6177,58905,101106,71431,42204,3867,63534,593,0,112328,64768,20564,85332,26996,8776,8776,0,0,0,0,0,38327,30613,1023,198,6493,332,5469,545,0,3430,4452,4447,-3096,0,3,0,2180,2,0,10913,10913,1528,1528,1979,4549,6337,29179,2177,2000
10110057X,文物出版社印刷厂,刘殿林,厂长,,西黄城根北街21号,厂桥,大拐棒,102,110201,1,10,66187531,,66174397,,100034,书刊印刷,,,2311,1,110,1,10,1957,1,1,,1,0,1,0,0,0,0,0,22,11,284,6343,7771,0,6787,0,218,1364,10472,698,5183,5094,10543,2547,24489,32707,18217,16981,1299,16589,0,0,37508,4958,4961,9919,27589,15879,15879,0,0,0,0,0,5115,5388,0,34,-307,3589,3329,130,45,828,129,129,-176,0,14,0,401,0,0,2416,2416,351,351,353,803,1156,6760,387,2000
101100588 ,化学工业出版社印刷厂,朱浪,厂长,,青年湖南街13号,和平里,安德路,101,111057,2,10,64214820,,64266782,,100011,激光排版,印刷,装订,2311,1,110,1,10,1955,6,1,,1,0,1,0,0,0,0,0,22,11,315,3010,8755,0,8755,0,289,4437,11960,1536,2785,1635,10040,13578,5513,27202,26658,22616,1840,5700,296,0,31347,6121,0,6121,25226,24102,24102,0,0,0,0,0,8967,8722,0,74,171,255,3422,73,6,1540,-5,-5,-2991,0,11,0,918,2,0,2989,2573,418,361,833,747,1580,5151,907,2000
101100617 ,水利电力出版社印刷厂,王振歧,厂长,路街道,复内大街33号,二龙路街道,成方街居委会,102,110621,1,10,66020761,,66036773,,100032,书刊印刷,,,2311,1,110,1,10,1956,7,1,,1,0,1,0,0,0,0,0,22,11,566,987,1542,0,1542,0,537,-5302,6841,3172,598,0,6609,416,29974,36574,36574,12627,1168,24726,0,0,37231,5160,5388,10549,26682,26283,26283,0,0,0,0,0,2343,3788,5,0,-1450,9347,11074,440,0,173,266,266,-3443,0,-3399,-3399,-3201,0,0,6721,6721,742,742,198,200,398,7042,198,2000
101100625 ,北京八达岭皮鞋公司,郭雁勤,经理,,东铁匠营横一条15号,东铁匠营,成寿寺大队,106,110762,3,10,67663045,,67663045,,100078,皮鞋,,,1921,1,110,1,50,1956,1,1,,1,0,1,0,0,0,0,0,30,11,432,221,543,0,675,0,533,-506,7993,473,3736,2223,688,1526,8534,14188,14188,5654,327,1421,44187,0,62240,69443,32,69476,-7236,8355,8355,0,0,0,0,0,940,1019,83,3,-165,1557,3853,212,0,1278,78,78,-2539,0,-2336,-2336,-2305,0,0,1439,1439,201,201,28,119,167,1077,31,2000
10110065X,北京粉末冶金公司,马士海,经理,,高家寨31号,陶然亭,高家寨,104,110414,1,10,83510096,,83510096,,100052,铁基制品,铜基制品,硬质合金,3564,1,110,1,20,1958,1,1,,7,0,6,1,0,0,0,0,22,23,690,16862,17115,0,17150,0,514,6398,44299,20667,8491,6493,43618,673,36440,47582,37606,19652,1342,28555,3120,738,84532,41346,4290,45636,38896,27552,0,7645,19907,0,0,0,16882,14116,315,164,2287,3136,7858,148,75,1876,365,365,-2800,0,53,0,1702,0,0,5333,5333,720,720,1485,1505,2991,12202,1649,2000
101100676 ,北京章光101集团公司,宋德顺,总经理,潘家园,劲松七区725号,潘家园,潘家园四,105,111837,2,10,67710967,,67710968,,100021,章光101G发宝,章光101B玉发剂,章光101玉发剂,2685,1,110,1,20,1987,5,1,,1,0,1,0,0,0,0,0,30,12,357,26095,22311,0,15046,0,338,13476,59608,30969,2947,919,57567,28084,31919,33617,16820,6449,518,27088,0,0,119611,40985,764,41749,77862,20305,20305,0,0,0,0,0,16525,6214,1824,234,8253,0,8252,171,90,1259,1601,1601,-1600,2563,1071,0,3782,0,0,4960,4960,469,469,2477,485,2816,11312,2711,2000
101100684 ,北京外文印刷厂,张振堂,厂长,甘家口,车公庄西路19号,甘家口,外文印刷厂,108,110455,2,10,68413344,3,68424931,,100044,印刷,,,2311,1,110,1,10,1951,1,1,,1,0,1,0,0,0,0,0,13,11,1192,26971,43132,0,41502,0,1121,17676,24273,5523,7001,3280,22975,11788,89001,136812,123247,56596,6973,78503,1298,0,126360,16799,20001,36800,89560,84910,84910,0,0,0,0,0,29496,28040,1114,307,35,14047,13427,903,103,6115,2107,2107,-1452,0,21,0,3398,4,17,13376,8954,1873,1325,3070,4532,7158,28526,3377,2000
101100692 ,北京市章光日化厂,林余存,厂长,潘家园,劲松七区725号,潘家园,潘家园四,105,111837,2,10,67723815,,,,100021,101养发香波,101二和一养发香波400,101二和一养发香波200,2685,1,110,1,20,1996,4,1,,1,0,1,0,0,0,0,0,30,12,33,2631,2631,0,2105,0,34,2729,1241,178,633,633,1275,0,73,137,124,64,14,67,0,0,1314,540,0,540,774,500,500,0,0,0,0,0,2406,1357,613,215,221,0,532,15,0,479,20,20,-331,0,-228,-228,293,0,0,48,48,19,19,306,103,409,208,521,2000
101100705 ,北京长亿人参饮料有限公司,李福成,总经理,办事处,燕京啤酒家,光明街道办事处,燕京啤酒家居委会,113,110212,4,10,89492139,,89492139,,101300,果菜汁饮料制造业,,,1523,1,310,1,50,1993,6,1,,1,0,1,0,0,0,0,0,30,11,225,23000,19350,0,18520,0,265,11855,39596,2056,4720,751,40518,0,135028,147216,138137,18325,4811,129090,0,0,174624,28205,18665,46870,127754,95445,53764,0,0,0,41681,0,18519,13293,440,0,4786,278,3677,72,0,0,744,744,643,0,643,0,2663,87,0,4109,4109,575,575,2020,1228,3248,9515,2020,2000
101100713 ,丰台桥梁工厂,王更新,厂长,新村,葛村西里1号,新村,新村第五居委会,106,111005,3,10,63717563,,63726290,,100070,轨枕,桥梁,弹条扣件,3717,1,110,1,10,1940,10,1,,1,0,1,0,0,0,0,0,12,23,2874,55621,97455,4509,93565,0,2661,43019,151688,88980,30336,4399,152867,27077,114866,150716,104533,48213,4040,105944,4400,0,298031,187140,64,187204,110827,172617,0,0,172617,0,0,0,137404,107927,3618,730,25129,4195,21118,91,123,6638,4088,4088,4118,0,523,0,8551,0,0,24260,21570,3396,3020,7298,16254,25445,61734,8028,2000
10110073X,北京旭鑫印刷厂,向孝智,厂长,,安德里北街21号,和平里,总政西,101,111068,2,10,64257931,,64257938,,100011,单色印刷品,多色印刷品,,2311,1,110,1,10,1953,6,1,,1,0,1,0,0,0,0,0,22,11,585,8255,8321,230,8321,0,581,4370,31946,3528,3766,0,33846,753,16045,21733,16714,6048,915,18413,0,0,48744,21031,7893,28924,19820,13163,13163,0,0,0,0,0,8322,6210,0,0,2112,1531,4896,16,39,3907,36,36,-1289,0,179,0,179,0,0,5608,5608,616,616,-11,324,223,3951,0,2000
101100756 ,国营第六九九厂,张连成,厂长,,永定路50号,永定路,一街坊,108,110201,5,10,68388181,,68385991,,100039,军工产品,谐波齿轮轮减器,,3590,1,110,1,10,1983,5,1,,1,0,1,0,0,0,0,0,13,23,1198,116114,115735,0,115735,0,1444,66698,165853,2785,112123,7556,164096,17728,57809,92228,82900,51516,6231,40033,15902,15902,257292,191148,32442,223590,33702,50041,50041,0,0,0,0,0,115513,70195,626,28,44664,520,38593,235,0,4555,-46,360,6637,2500,6280,0,6409,2448,110,25914,25914,7643,7643,101,176,299,49138,129,2000
101100772 ,北京卷烟厂,王平,厂长,,管庄西里42号,管庄,烟厂,105,112019,,10,65762415,,65762833,,100024,卷烟,,,1620,1,110,1,20,1970,9,1,,1,0,1,0,0,0,0,0,21,11,1050,462150,836446,19571,841663,21631,888,570365,209010,1588,63381,497,226183,30418,312092,420022,413666,159838,21880,287465,5709,4839,557229,-13155,1531,-11624,568853,417106,417106,0,0,0,0,0,842185,370088,12568,364341,95188,1482,49335,668,1962,20401,528,1905,46807,0,50062,0,500754,5955,0,31440,31440,13940,13940,86351,57528,139465,352432,450692,2000
101100780 ,北京市机械设备厂,段建民,厂长,,五爱屯西街3号,南苑,新兴村,106,110510,5,10,67979703,,,,100076,农业机械,,,3642,1,110,1,20,1958,1,1,,2,0,1,0,0,0,0,1,22,23,472,6693,6293,0,2469,0,341,782,48428,8457,22762,12196,41734,0,14625,27756,11136,15200,551,13309,1690,0,64743,51682,3650,55332,9411,13011,13011,0,0,0,0,0,3470,3930,646,0,-1106,98,5809,124,19,2067,50,50,-6867,1000,14,0,14,0,0,3311,3311,464,464,-401,1009,608,5511,0,2000
101100860 ,中国青年出版社印刷厂,杭乃树,厂长,,白家庄路1号,三里屯,青年印刷厂,105,110421,2,10,65022752,,65854750,,100020,书刊印刷品,,,2311,1,110,1,10,1949,5,1,,1,0,1,0,0,0,0,0,22,11,609,28608,42010,0,44783,0,586,15602,22515,141,2986,1880,23588,50,61416,90002,86200,32475,5190,57471,0,0,83981,4482,14390,18873,65108,39034,0,0,39034,0,0,0,44784,38303,1327,228,4926,6422,9062,300,56,1325,80,80,2206,0,2400,0,4904,806,0,7473,6773,1046,948,2276,5144,7420,28684,2504,2000
101100895 ,北京宇翔电子有限公司,李松平,董事长,龙潭路,龙潭路,龙潭,,103,110407,1,10,67159164,,67116185,,100061,半导体集成电路,,,4155,1,151,1,20,1968,11,1,,1,0,1,0,0,0,0,0,21,23,538,14434,6329,0,10953,0,486,406,35242,4100,3894,827,32377,2414,38237,57704,51260,26241,1643,29152,1414,1414,77307,10968,41920,52888,24419,11099,0,0,11099,0,0,0,10982,8847,217,93,1825,3525,4625,471,70,1824,1484,1484,-759,0,15,0,1021,0,533,3696,3696,517,517,913,955,1868,6836,1006,2000
101100932 ,中国铁道出版社印刷厂,刘青松,厂长,,光华路4号,建外,北郎,105,110135,3,10,65634179,,,,100026,单色印刷品,多色印刷品,,2311,1,110,1,10,1913,1,1,,1,0,1,0,0,0,0,0,21,11,486,13255,15193,0,15193,0,480,7096,23791,0,9355,2029,20829,413,30216,45564,29648,15348,2215,41654,0,0,54420,1282,3873,5155,49265,52931,52931,0,0,0,0,0,14519,7656,0,125,6738,0,7138,0,0,0,-6,-6,-394,0,-394,-394,687,0,0,5612,5612,790,790,956,823,1779,9053,1081,2000
101101003 ,广播电影电视部设备制造厂,赵宝山,厂长,,双桥街12号,管庄,,105,111707,5,10,65895588,,65895611,,100024,广播设备,,,3410,1,110,1,10,1958,11,1,,1,0,1,0,0,0,0,0,22,23,632,35115,34797,0,44080,0,463,34979,83622,4848,48934,29356,40658,3580,35174,50199,42669,15333,404,30866,0,0,122376,62641,33694,96335,26041,16593,0,0,16593,0,0,0,43368,22629,87,196,20456,-100,4994,247,0,50,608,-10,14754,0,14681,0,17080,0,0,4877,4877,682,682,2203,5170,7373,2021,2399,2000
